$n_0$,$n_1$,$n_2$,$n_3$,$n_4$,k,sample_label
0.07320000000000007,0.1885,0.17379999999999995,0.4488,0.1157,4,AML-04-001
0.5391,0.17079999999999995,0.08640000000000003,0.2037,NaN,3,AML-13-001
0.07650000000000001,0.33119999999999994,0.08340000000000003,0.5089,NaN,3,AML-21-001
0.4735000000000001,0.34969999999999996,0.07330000000000002,0.1035,NaN,3,AML-26-001
0.22089999999999996,0.06140000000000001,0.2731,0.3425,0.1021,4,AML-28-001
0.14629999999999999,0.16880000000000006,0.008599999999999941,0.058499999999999996,0.6178,4,AML-32-001
0.3988,0.0928,0.12869999999999998,0.3797,NaN,3,AML-38-001
0.19260000000000005,0.3634,0.15500000000000003,0.289,NaN,3,AML-40-001
0.11755817499999999,0.831368993,0.008461771,0.030825023,0.011786038,4,AML-42-001
0.12292490099999998,0.013636364000000012,0.343478261,0.519960474,NaN,3,AML-46-001
0.14529999999999998,0.19510000000000005,0.38239999999999996,0.2772,NaN,3,AML-51-001
0.13560000000000005,0.41769999999999996,0.02210000000000001,0.4246,NaN,3,AML-62-001
0.15959999999999996,0.3269000000000001,0.40759999999999996,0.1059,NaN,3,AML-63-001
0.16180000000000005,0.046599999999999975,0.6465,0.1451,NaN,3,AML-70-001
0.15139999999999998,0.1481,0.011299999999999977,0.6892,NaN,3,AML-76-001
0.09584151299999999,0.05514902799999999,0.11101195800000008,0.2243441009999999,0.5136534,4,AML-82-001
0.083246618,0.151925078,0.232049948,0.532778356,NaN,3,AML-84-001
0.6699029129999999,0.070903206,0.009414534000000002,0.045307443,0.204471904,4,AML-87-001
0.15434706099999992,0.06335797200000004,0.26786342900000004,0.324181626,0.190249912,4,AML-90-001
0.20208427699999998,0.330765746,0.055127623999999986,0.412022353,NaN,3,AML-92-001
0.12621004599999996,0.21936073,0.49260274000000004,0.161826484,NaN,3,AML-94-001
0.16331282200000002,0.056045236,0.29220023200000006,0.48844171,NaN,3,AML-97-001
0.33779264200000003,0.08193979899999992,0.0008361210000000785,0.579431438,NaN,3,AML-112-001
0.539961014,0.357699805,0.052631579000000005,0.049707602,NaN,3,AML-121-001
0.293814433,0.05630451999999997,0.018636003000000012,0.21054718500000003,0.420697859,4,AML-123-001
