$n_0$,$n_1$,$n_2$,$n_3$,$n_4$,N,k,params_label
35424.0,4935.0,68668.0,5093.0,2.0,114122.0,4,s6/mu10minus5
12508.0,980.0,3715.0,69873.0,2.0,87078.0,4,s6/mu10minus5
83816.0,0.0,5850.0,2128.0,3.0,91798.0,4,s6/mu10minus5
51725.0,12178.0,8002.0,38526.0,2.0,110463.0,4,s6/mu10minus5
978.0,0.0,6681.0,88556.0,2.0,96217.0,4,s6/mu10minus5
7786.0,76.0,94538.0,455.0,0.0,103110.0,4,s6/mu10minus5
6609.0,247.0,88915.0,27631.0,2.0,123404.0,4,s6/mu10minus5
49959.0,304.0,51181.0,4347.0,3.0,107353.0,4,s6/mu10minus5
15669.0,1532.0,58163.0,25106.0,3.0,100816.0,4,s6/mu10minus5
33533.0,1057.0,61947.0,1268.0,2.0,97809.0,4,s6/mu10minus5
13557.0,246.0,92755.0,481.0,2.0,107041.0,4,s6/mu10minus5
10282.0,605.0,53723.0,21496.0,0.0,86106.0,4,s6/mu10minus5
1659.0,0.0,52692.0,29738.0,2.0,86239.0,4,s6/mu10minus5
86380.0,0.0,7049.0,17914.0,2.0,111390.0,4,s6/mu10minus5
12697.0,0.0,50066.0,32556.0,2.0,95321.0,4,s6/mu10minus5
4719.0,243.0,80453.0,13170.0,2.0,98587.0,4,s6/mu10minus5
24445.0,1901.0,79109.0,719.0,2.0,106177.0,4,s6/mu10minus5
12354.0,0.0,84506.0,2352.0,4.0,99216.0,4,s6/mu10minus5
66750.0,0.0,18988.0,7493.0,1.0,100227.0,4,s6/mu10minus5
43353.0,317.0,37009.0,5631.0,3.0,86318.0,4,s6/mu10minus5
78376.0,1480.0,0.0,38373.0,2.0,118284.0,4,s6/mu10minus5
90956.0,5661.0,4076.0,393.0,4.0,101090.0,4,s6/mu10minus5
5441.0,0.0,57127.0,30665.0,4.0,93240.0,4,s6/mu10minus5
1751.0,188.0,106755.0,772.0,2.0,110036.0,4,s6/mu10minus5
10458.0,789.0,23281.0,52262.0,2.0,99973.0,4,s6/mu10minus5
4572.0,434.0,86423.0,4184.0,3.0,95753.0,4,s6/mu10minus5
12131.0,0.0,26539.0,71002.0,2.0,109721.0,4,s6/mu10minus5
11292.0,952.0,34297.0,41218.0,3.0,87772.0,4,s6/mu10minus5
49242.0,1145.0,27342.0,20029.0,2.0,98187.0,4,s6/mu10minus5
58609.0,3143.0,20406.0,27508.0,2.0,115498.0,4,s6/mu10minus5
